Effective date ,S&P U.S. Government & Corporate Bond Index
6/30/16,98.97
7/1/16,99.18
7/4/16,99.29
7/5/16,99.74
7/6/16,99.65
7/7/16,99.72
7/8/16,99.85
7/11/16,99.62
7/12/16,99.28
7/13/16,99.54
7/14/16,99.25
7/15/16,98.97
7/18/16,99.03
7/19/16,99.17
7/20/16,99.07
7/21/16,99.15
7/22/16,99.15
7/25/16,99.13
7/26/16,99.16
7/27/16,99.41
7/28/16,99.41
7/29/16,99.69
8/1/16,99.46
8/2/16,99.24
8/3/16,99.22
8/4/16,99.45
8/5/16,99.05
8/8/16,99.12
8/9/16,99.34
8/10/16,99.55
8/11/16,99.19
8/12/16,99.49
8/15/16,99.33
8/16/16,99.21
8/17/16,99.33
8/18/16,99.48
8/19/16,99.28
8/22/16,99.54
8/23/16,99.53
8/24/16,99.52
8/25/16,99.41
8/26/16,99.12
8/29/16,99.53
8/30/16,99.47
8/31/16,99.48
9/1/16,99.47
9/2/16,99.32
9/6/16,99.62
9/7/16,99.61
9/8/16,99.17
9/9/16,98.86
9/12/16,98.87
9/13/16,98.55
9/14/16,98.72
9/15/16,98.68
9/16/16,98.74
9/19/16,98.73
9/20/16,98.81
9/21/16,98.95
9/22/16,99.17
9/23/16,99.23
9/26/16,99.39
9/27/16,99.55
9/28/16,99.51
9/29/16,99.59
9/30/16,99.32
10/3/16,99.27
10/4/16,98.97
10/5/16,98.85
10/6/16,98.73
10/7/16,98.78
10/11/16,98.65
10/12/16,98.64
10/13/16,98.81
10/14/16,98.53
10/17/16,98.73
10/18/16,98.84
10/19/16,98.88
10/20/16,98.89
10/21/16,98.92
10/24/16,98.82
10/25/16,98.84
10/26/16,98.67
10/27/16,98.41
10/28/16,98.39
10/31/16,98.51
11/1/16,98.54
11/2/16,98.63
11/3/16,98.52
11/4/16,98.7
11/7/16,98.5
11/8/16,98.32
11/9/16,97.31
11/10/16,97.08
11/14/16,96.64
11/15/16,96.64
11/16/16,96.78
11/17/16,96.49
11/18/16,96.26
11/21/16,96.28
11/22/16,96.32
11/23/16,96.15
11/25/16,96.17
11/28/16,96.4
11/29/16,96.5
11/30/16,96.2
12/1/16,95.92
12/2/16,96.16
12/5/16,96.17
12/6/16,96.17
12/7/16,96.41
12/8/16,96.2
12/9/16,95.88
12/12/16,95.91
12/13/16,95.94
12/14/16,95.63
12/15/16,95.54
12/16/16,95.51
12/19/16,95.81
12/20/16,95.7
12/21/16,95.82
12/22/16,95.82
12/23/16,95.87
12/27/16,95.78
12/28/16,96.03
12/29/16,96.19
12/30/16,96.35
1/3/17,96.37
1/4/17,96.44
1/5/17,96.88
1/6/17,96.6
1/9/17,96.83
1/10/17,96.81
1/11/17,96.87
1/12/17,96.89
1/13/17,96.77
1/17/17,97.1
1/18/17,96.71
1/19/17,96.49
1/20/17,96.51
1/23/17,96.85
1/24/17,96.56
1/25/17,96.31
1/26/17,96.41
1/27/17,96.53
1/30/17,96.49
1/31/17,96.65
2/1/17,96.52
2/2/17,96.53
2/3/17,96.49
2/6/17,96.83
2/7/17,96.95
2/8/17,97.2
2/9/17,97.07
2/10/17,97.03
2/13/17,96.95
2/14/17,96.76
2/15/17,96.63
2/16/17,96.88
2/17/17,97.03
2/21/17,97.02
2/22/17,97.09
2/23/17,97.25
2/24/17,97.57
2/27/17,97.37
2/28/17,97.41
3/1/17,96.92
3/2/17,96.81
3/3/17,96.86
3/6/17,96.83
3/7/17,96.7
3/8/17,96.49
3/9/17,96.26
3/10/17,96.35
3/13/17,96.22
3/14/17,96.29
3/15/17,96.75
3/16/17,96.63
3/17/17,96.77
3/20/17,96.95
3/21/17,97.15
3/22/17,97.28
3/23/17,97.22
3/24/17,97.3
3/27/17,97.43
3/28/17,97.25
3/29/17,97.41
3/30/17,97.26
3/31/17,97.36
4/3/17,97.63
4/4/17,97.55
4/5/17,97.61
4/6/17,97.63
