Effective date ,S&P Municipal Bond Index
11/30/2012,210.03
12/3/2012,210.1
12/4/2012,210.12
12/5/2012,210.15
12/6/2012,210.17
12/7/2012,210.17
12/10/2012,210.13
12/11/2012,209.6
12/12/2012,209.28
12/13/2012,208.76
12/14/2012,208.11
12/17/2012,207.37
12/18/2012,206.58
12/19/2012,206.64
12/20/2012,206.83
12/21/2012,206.96
12/24/2012,207
12/26/2012,207.02
12/27/2012,207.1
12/28/2012,207.18
12/31/2012,207.23
1/2/2013,207.23
1/3/2013,207.24
1/4/2013,207.14
1/7/2013,207.36
1/8/2013,207.82
1/9/2013,208.2
1/10/2013,208.23
1/11/2013,208.37
1/14/2013,208.59
1/15/2013,208.78
1/16/2013,209.18
1/17/2013,209.1
1/18/2013,209.16
1/22/2013,209.27
1/23/2013,209.36
1/24/2013,209.32
1/25/2013,208.99
1/28/2013,208.78
1/29/2013,208.63
1/30/2013,208.46
1/31/2013,208.51
2/1/2013,208.57
2/4/2013,208.63
2/5/2013,208.55
2/6/2013,208.67
2/7/2013,208.76
2/8/2013,208.78
2/11/2013,208.85
2/12/2013,208.79
2/13/2013,208.53
2/14/2013,208.61
2/15/2013,208.67
2/19/2013,208.81
2/20/2013,208.56
2/21/2013,208.62
2/22/2013,208.65
2/25/2013,208.77
2/26/2013,209.09
2/27/2013,209.29
2/28/2013,209.37
3/1/2013,209.5
3/4/2013,209.49
3/5/2013,209.29
3/6/2013,208.9
3/7/2013,208.71
3/8/2013,208.14
3/11/2013,208.14
3/12/2013,208.08
3/13/2013,207.99
3/14/2013,207.75
3/15/2013,207.76
3/18/2013,208.07
3/19/2013,208.21
3/20/2013,208.15
3/21/2013,208.17
3/22/2013,208.13
3/25/2013,208.16
3/26/2013,208.17
3/27/2013,208.34
3/28/2013,208.43
4/1/2013,208.48
4/2/2013,208.5
4/3/2013,208.7
4/4/2013,209.02
4/5/2013,209.73
4/8/2013,209.78
4/9/2013,209.75
4/10/2013,209.64
4/11/2013,209.6
4/12/2013,209.78
4/15/2013,209.92
4/16/2013,209.9
4/17/2013,210.13
4/18/2013,210.15
4/19/2013,210.12
4/22/2013,210.16
4/23/2013,210.15
4/24/2013,210.15
4/25/2013,210.17
4/26/2013,210.36
4/29/2013,210.42
4/30/2013,210.61
5/1/2013,210.9
5/2/2013,210.93
5/3/2013,210.73
5/6/2013,210.48
5/7/2013,210.37
5/8/2013,210.42
5/9/2013,210.58
5/10/2013,210.22
5/13/2013,210.16
5/14/2013,210
5/15/2013,210.01
5/16/2013,210.26
5/17/2013,210.19
5/20/2013,210.13
5/21/2013,210.02
5/22/2013,209.88
5/23/2013,209.6
5/24/2013,209.59
5/28/2013,209.11
5/29/2013,208.52
5/30/2013,208.39
5/31/2013,208.22
6/3/2013,208.26
6/4/2013,207.8
6/5/2013,207.71
6/6/2013,207.71
6/7/2013,207.35
6/10/2013,206.68
6/11/2013,205.8
6/12/2013,205.39
6/13/2013,205.19
6/14/2013,205.44
6/17/2013,205.48
6/18/2013,205.24
6/19/2013,204.82
6/20/2013,202.74
6/21/2013,200.47
6/24/2013,198.15
6/25/2013,198.25
6/26/2013,200.55
6/27/2013,201.76
6/28/2013,201.93
7/1/2013,201.89
7/2/2013,201.92
7/3/2013,201.99
