Effective date ,S&P U.S. Treasury Bill Index
11/30/2012,226.04
12/3/2012,226.03
12/4/2012,226.03
12/5/2012,226.04
12/6/2012,226.04
12/7/2012,226.04
12/10/2012,226.05
12/11/2012,226.05
12/12/2012,226.06
12/13/2012,226.07
12/14/2012,226.07
12/17/2012,226.07
12/18/2012,226.06
12/19/2012,226.07
12/20/2012,226.07
12/21/2012,226.07
12/24/2012,226.07
12/26/2012,226.06
12/27/2012,226.07
12/28/2012,226.08
12/31/2012,226.07
1/2/2013,226.07
1/3/2013,226.07
1/4/2013,226.07
1/7/2013,226.07
1/8/2013,226.07
1/9/2013,226.08
1/10/2013,226.08
1/11/2013,226.08
1/14/2013,226.07
1/15/2013,226.07
1/16/2013,226.07
1/17/2013,226.08
1/18/2013,226.08
1/22/2013,226.08
1/23/2013,226.08
1/24/2013,226.08
1/25/2013,226.08
1/28/2013,226.09
1/29/2013,226.09
1/30/2013,226.09
1/31/2013,226.09
2/1/2013,226.09
2/4/2013,226.09
2/5/2013,226.09
2/6/2013,226.09
2/7/2013,226.09
2/8/2013,226.09
2/11/2013,226.09
2/12/2013,226.09
2/13/2013,226.09
2/14/2013,226.08
2/15/2013,226.09
2/19/2013,226.08
2/20/2013,226.08
2/21/2013,226.08
2/22/2013,226.08
2/25/2013,226.09
2/26/2013,226.09
2/27/2013,226.09
2/28/2013,226.09
3/1/2013,226.1
3/4/2013,226.1
3/5/2013,226.1
3/6/2013,226.1
3/7/2013,226.1
3/8/2013,226.11
3/11/2013,226.11
3/12/2013,226.11
3/13/2013,226.11
3/14/2013,226.11
3/15/2013,226.11
3/18/2013,226.12
3/19/2013,226.12
3/20/2013,226.12
3/21/2013,226.12
3/22/2013,226.12
3/25/2013,226.12
3/26/2013,226.12
3/27/2013,226.12
3/28/2013,226.13
4/1/2013,226.13
4/2/2013,226.13
4/3/2013,226.13
4/4/2013,226.13
4/5/2013,226.13
4/8/2013,226.13
4/9/2013,226.13
4/10/2013,226.13
4/11/2013,226.14
4/12/2013,226.14
4/15/2013,226.14
4/16/2013,226.14
4/17/2013,226.14
4/18/2013,226.15
4/19/2013,226.15
4/22/2013,226.15
4/23/2013,226.15
4/24/2013,226.15
4/25/2013,226.15
4/26/2013,226.15
4/29/2013,226.15
4/30/2013,226.15
5/1/2013,226.15
5/2/2013,226.15
5/3/2013,226.16
5/6/2013,226.16
5/7/2013,226.16
5/8/2013,226.16
5/9/2013,226.16
5/10/2013,226.16
5/13/2013,226.16
5/14/2013,226.16
5/15/2013,226.16
5/16/2013,226.17
5/17/2013,226.17
5/20/2013,226.17
5/21/2013,226.17
5/22/2013,226.17
5/23/2013,226.17
5/24/2013,226.17
5/28/2013,226.17
5/29/2013,226.17
5/30/2013,226.17
5/31/2013,226.17
6/3/2013,226.17
6/4/2013,226.17
6/5/2013,226.17
6/6/2013,226.17
6/7/2013,226.17
6/10/2013,226.17
6/11/2013,226.17
6/12/2013,226.17
6/13/2013,226.17
6/14/2013,226.18
6/17/2013,226.18
6/18/2013,226.17
6/19/2013,226.18
6/20/2013,226.18
6/21/2013,226.18
6/24/2013,226.17
6/25/2013,226.17
6/26/2013,226.17
6/27/2013,226.18
6/28/2013,226.18
7/1/2013,226.19
7/2/2013,226.19
7/3/2013,226.19
7/5/2013,226.19
7/8/2013,226.19
7/9/2013,226.19
7/10/2013,226.19
7/11/2013,226.19
7/12/2013,226.19
7/15/2013,226.2
7/16/2013,226.2
7/17/2013,226.2
7/18/2013,226.2
7/19/2013,226.2
7/22/2013,226.2
7/23/2013,226.2
7/24/2013,226.2
7/25/2013,226.21
7/26/2013,226.21
7/29/2013,226.21
7/30/2013,226.2
7/31/2013,226.2
8/1/2013,226.2
8/2/2013,226.2
8/5/2013,226.2
8/6/2013,226.2
8/7/2013,226.2
8/8/2013,226.2
8/9/2013,226.2
8/12/2013,226.2
8/13/2013,226.2
8/14/2013,226.2
8/15/2013,226.2
8/16/2013,226.21
8/19/2013,226.21
8/20/2013,226.21
8/21/2013,226.21
8/22/2013,226.21
8/23/2013,226.21
8/26/2013,226.22
8/27/2013,226.22
8/28/2013,226.22
8/29/2013,226.22
8/30/2013,226.22
9/3/2013,226.22
9/4/2013,226.22
9/5/2013,226.22
9/6/2013,226.22
9/9/2013,226.23
9/10/2013,226.23
9/11/2013,226.23
9/12/2013,226.23
9/13/2013,226.23
9/16/2013,226.23
9/17/2013,226.23
9/18/2013,226.23
9/19/2013,226.24
9/20/2013,226.23
9/23/2013,226.23
9/24/2013,226.23
9/25/2013,226.23
9/26/2013,226.24
9/27/2013,226.24
9/30/2013,226.24
10/1/2013,226.23
10/2/2013,226.24
10/3/2013,226.23
10/4/2013,226.23
10/7/2013,226.23
10/8/2013,226.22
10/9/2013,226.21
10/10/2013,226.21
10/11/2013,226.21
10/15/2013,226.19
10/16/2013,226.21
10/17/2013,226.23
10/18/2013,226.24
10/21/2013,226.24
10/22/2013,226.24
10/23/2013,226.24
10/24/2013,226.24
10/25/2013,226.24
10/28/2013,226.24
10/29/2013,226.23
10/30/2013,226.24
10/31/2013,226.24
11/1/2013,226.24
11/4/2013,226.24
11/5/2013,226.23
11/6/2013,226.24
11/7/2013,226.24
11/8/2013,226.24
11/12/2013,226.23
11/13/2013,226.23
11/14/2013,226.23
11/15/2013,226.23
11/18/2013,226.23
11/19/2013,226.23
11/20/2013,226.24
11/21/2013,226.24
11/22/2013,226.24
11/25/2013,226.24
11/26/2013,226.24
11/27/2013,226.24
11/29/2013,226.24
12/2/2013,226.24
12/3/2013,226.25
12/4/2013,226.25
12/5/2013,226.25
12/6/2013,226.25
12/9/2013,226.25
12/10/2013,226.25
12/11/2013,226.25
12/12/2013,226.25
12/13/2013,226.25
12/16/2013,226.25
12/17/2013,226.26
12/18/2013,226.26
12/19/2013,226.26
12/20/2013,226.26
12/23/2013,226.26
12/24/2013,226.26
