Effective date ,S&P U.S. Treasury Bond Index
10/31/2012,399.32
11/1/2012,399.06
11/2/2012,399.11
11/5/2012,399.53
11/6/2012,398.71
11/7/2012,400.13
11/8/2012,401.08
11/9/2012,401
11/13/2012,401.36
11/14/2012,401.41
11/15/2012,401.38
11/16/2012,401.44
11/19/2012,401.06
11/20/2012,400.34
11/21/2012,400.17
11/23/2012,400.11
11/26/2012,400.4
11/27/2012,400.76
11/28/2012,400.88
11/29/2012,401.01
11/30/2012,401.03
12/3/2012,401
12/4/2012,401.29
12/5/2012,401.42
12/6/2012,401.53
12/7/2012,401.02
12/10/2012,401.24
12/11/2012,400.82
12/12/2012,400.19
12/13/2012,399.93
12/14/2012,400.33
12/17/2012,399.41
12/18/2012,398.69
12/19/2012,398.95
12/20/2012,398.99
12/21/2012,399.52
12/24/2012,399.36
12/26/2012,399.54
12/27/2012,399.98
12/28/2012,400.28
12/31/2012,399.79
1/2/2013,398.81
1/3/2013,397.94
1/4/2013,398.06
1/7/2013,398.12
1/8/2013,398.59
1/9/2013,398.7
1/10/2013,398.38
1/11/2013,398.87
1/14/2013,398.8
1/15/2013,399.14
1/16/2013,399.32
1/17/2013,398.55
1/18/2013,399.02
1/22/2013,399.22
1/23/2013,399.25
1/24/2013,398.98
1/25/2013,397.87
1/28/2013,397.55
1/29/2013,397.32
1/30/2013,397.4
1/31/2013,397.59
2/1/2013,397.02
2/4/2013,397.92
2/5/2013,397.39
2/6/2013,397.89
2/7/2013,397.91
2/8/2013,398.04
2/11/2013,397.91
2/12/2013,397.67
2/13/2013,397.1
2/14/2013,397.77
2/15/2013,397.62
2/19/2013,397.35
2/20/2013,397.62
2/21/2013,398.02
2/22/2013,398.14
2/25/2013,399.45
2/26/2013,399.2
2/27/2013,399.11
2/28/2013,399.28
3/1/2013,399.65
3/4/2013,399.37
3/5/2013,399.14
3/6/2013,398.58
3/7/2013,397.98
3/8/2013,397.29
3/11/2013,397.3
3/12/2013,397.73
3/13/2013,397.64
3/14/2013,397.59
3/15/2013,398.12
3/18/2013,398.64
3/19/2013,399.09
3/20/2013,398.5
3/21/2013,398.89
3/22/2013,398.95
3/25/2013,399.02
3/26/2013,399.14
3/27/2013,399.8
3/28/2013,399.68
4/1/2013,399.92
4/2/2013,399.68
4/3/2013,400.34
4/4/2013,400.99
4/5/2013,401.73
4/8/2013,401.28
4/9/2013,401.26
4/10/2013,400.52
4/11/2013,400.68
4/12/2013,401.52
4/15/2013,401.93
4/16/2013,401.46
4/17/2013,401.78
4/18/2013,401.86
4/19/2013,401.73
4/22/2013,401.85
4/23/2013,401.71
4/24/2013,401.85
4/25/2013,401.69
4/26/2013,402.28
4/29/2013,402.22
4/30/2013,402.21
5/1/2013,402.78
5/2/2013,402.79
5/3/2013,401.34
5/6/2013,401.15
5/7/2013,400.93
5/8/2013,401.01
5/9/2013,400.96
5/10/2013,400.09
5/13/2013,399.72
5/14/2013,399.15
5/15/2013,399.51
5/16/2013,400.28
5/17/2013,399.47
5/20/2013,399.38
5/21/2013,399.79
5/22/2013,398.66
5/23/2013,398.84
5/24/2013,398.92
5/28/2013,397.03
5/29/2013,397.57
5/30/2013,397.54
5/31/2013,397.21
6/3/2013,397.49
6/4/2013,397.04
6/5/2013,397.77
6/6/2013,397.84
6/7/2013,396.62
6/10/2013,396.22
6/11/2013,396.62
6/12/2013,395.88
6/13/2013,397.05
6/14/2013,397.36
6/17/2013,397.06
6/18/2013,397.01
6/19/2013,395.1
6/20/2013,394.25
6/21/2013,392.66
6/24/2013,392.33
6/25/2013,392.07
6/26/2013,392.72
6/27/2013,393.59
