Effective date ,S&P GSCI Biofuel
11/30/2012,182.22
12/3/2012,183.94
12/4/2012,182.55
12/5/2012,184.22
12/6/2012,183.15
12/7/2012,181.29
12/10/2012,179.09
12/11/2012,178.19
12/12/2012,176.36
12/13/2012,175.46
12/14/2012,178.67
12/17/2012,178.99
12/18/2012,178.11
12/19/2012,175.31
12/20/2012,174.16
12/21/2012,175.29
12/24/2012,175
12/26/2012,173.23
12/27/2012,174.24
12/28/2012,175.01
12/31/2012,175.87
1/2/2013,176.23
1/3/2013,174.05
1/4/2013,171.71
1/7/2013,172.37
1/8/2013,171.8
1/9/2013,172.48
1/10/2013,173.71
1/11/2013,175.15
1/14/2013,176.89
1/15/2013,177.24
1/16/2013,177.15
1/17/2013,176.45
1/18/2013,176.9
1/22/2013,176.56
1/23/2013,176.59
1/24/2013,176.85
1/25/2013,176.31
1/28/2013,178.1
1/29/2013,176.9
1/30/2013,179.75
1/31/2013,180.04
2/1/2013,179.77
2/4/2013,179.17
2/5/2013,177.95
2/6/2013,175.89
2/7/2013,174.26
2/8/2013,173.83
2/11/2013,173.72
2/12/2013,171.79
2/13/2013,172.51
2/14/2013,171.09
2/15/2013,171.49
2/19/2013,172.12
2/20/2013,172.81
2/21/2013,170.19
2/22/2013,170.07
2/25/2013,169.57
2/26/2013,169.73
2/27/2013,170.08
2/28/2013,171.49
3/1/2013,171.01
3/4/2013,171.11
3/5/2013,171.98
3/6/2013,169.7
3/7/2013,172.15
3/8/2013,173.13
3/11/2013,174.23
3/12/2013,174.26
3/13/2013,173.6
3/14/2013,174.46
3/15/2013,175.03
3/18/2013,173.17
3/19/2013,174.08
3/20/2013,175.09
3/21/2013,175
3/22/2013,174.33
3/25/2013,174.28
3/26/2013,173.75
3/27/2013,174.54
3/28/2013,168.7
4/1/2013,163.13
4/2/2013,162.45
4/3/2013,162.41
4/4/2013,161.33
4/5/2013,161.31
4/8/2013,162.31
4/9/2013,163.29
4/10/2013,163.83
4/11/2013,163.19
4/12/2013,164
4/15/2013,160.73
4/16/2013,163.6
4/17/2013,163.65
4/18/2013,162.12
4/19/2013,163.01
4/22/2013,161.08
4/23/2013,159.69
4/24/2013,159.48
4/25/2013,160.73
4/26/2013,160.23
4/29/2013,164.65
4/30/2013,164.19
5/1/2013,162.63
5/2/2013,164.82
5/3/2013,164.95
5/6/2013,162.7
5/7/2013,162.9
5/8/2013,161.42
5/9/2013,163.55
5/10/2013,161.87
5/13/2013,163.58
5/14/2013,162.71
5/15/2013,161.75
5/16/2013,160.49
5/17/2013,161.7
5/20/2013,160.95
5/21/2013,160.28
5/22/2013,161.71
5/23/2013,162.66
5/24/2013,162.04
5/28/2013,162.73
5/29/2013,161.95
5/30/2013,160.73
5/31/2013,161.16
6/3/2013,160.44
6/4/2013,160.71
6/5/2013,160.4
6/6/2013,160.79
6/7/2013,159.85
6/10/2013,156.47
6/11/2013,155.64
6/12/2013,153.1
6/13/2013,151.06
6/14/2013,153.11
6/17/2013,154.46
6/18/2013,154.79
6/19/2013,158.32
6/20/2013,154.46
6/21/2013,154.23
6/24/2013,153.01
6/25/2013,153.11
6/26/2013,152.35
6/27/2013,150.96
6/28/2013,147.91
7/1/2013,146.01
7/2/2013,145.69
7/3/2013,145.63
7/5/2013,144.48
7/8/2013,145.37
7/9/2013,147.53
7/10/2013,147.59
7/11/2013,147.59
7/12/2013,145.97
7/15/2013,144.84
7/16/2013,145.24
7/17/2013,144.9
7/18/2013,145.29
7/19/2013,145.94
7/22/2013,145.86
7/23/2013,143.34
7/24/2013,140.93
7/25/2013,140.23
7/26/2013,140.02
7/29/2013,140.5
7/30/2013,141.12
7/31/2013,141.74
8/1/2013,140.23
8/2/2013,138.96
8/5/2013,137.61
8/6/2013,137.53
8/7/2013,137.22
8/8/2013,137.51
8/9/2013,136.81
8/12/2013,138.76
8/13/2013,137.29
8/14/2013,137.87
8/15/2013,140.05
8/16/2013,138.13
8/19/2013,139.65
8/20/2013,137.94
8/21/2013,138.3
8/22/2013,135.89
8/23/2013,137.27
8/26/2013,142.37
8/27/2013,140.21
8/28/2013,139.71
8/29/2013,139.08
8/30/2013,139.1
9/3/2013,138.64
9/4/2013,137.6
9/5/2013,136.78
9/6/2013,138.6
9/9/2013,138.6
9/10/2013,139.93
9/11/2013,140.5
9/12/2013,140.53
9/13/2013,139.47
9/16/2013,138.64
9/17/2013,137.94
9/18/2013,138.79
9/19/2013,140.25
9/20/2013,138.8
9/23/2013,139.14
9/24/2013,139.19
9/25/2013,140.77
9/26/2013,141.08
9/27/2013,139.36
9/30/2013,138.77
10/1/2013,138.54
10/2/2013,138.57
10/3/2013,139.31
10/4/2013,139.52
10/7/2013,140.34
10/8/2013,140.04
10/9/2013,140.24
10/10/2013,140.41
10/11/2013,140.02
10/14/2013,140.83
10/15/2013,140.48
10/16/2013,141.77
10/17/2013,141.67
10/18/2013,143.77
10/21/2013,143.64
10/22/2013,143.1
10/23/2013,143.03
10/24/2013,141.49
10/25/2013,141.27
10/28/2013,139.57
10/29/2013,138.73
10/30/2013,138.51
10/31/2013,137.98
11/1/2013,137.86
11/4/2013,137.65
11/5/2013,137.16
11/6/2013,136.25
11/7/2013,136.01
11/8/2013,136.67
11/11/2013,137.5
11/12/2013,137.46
11/13/2013,137.32
11/14/2013,136.46
11/15/2013,135.23
11/18/2013,134.61
11/19/2013,134.85
