Effective date ,S&P GSCI Copper
11/30/2012,566.29
12/3/2012,566.89
12/4/2012,568.68
12/5/2012,571.71
12/6/2012,566.34
12/7/2012,568.86
12/10/2012,575.9
12/11/2012,573.54
12/12/2012,575.78
12/13/2012,571.91
12/14/2012,571.27
12/17/2012,571.02
12/18/2012,568.2
12/19/2012,561.27
12/20/2012,550.25
12/21/2012,554.73
12/24/2012,553.28
12/26/2012,553.28
12/27/2012,560.64
12/28/2012,558.6
12/31/2012,561.65
1/2/2013,581.24
1/3/2013,577.91
1/4/2013,572.17
1/7/2013,571.04
1/8/2013,571.78
1/9/2013,571.93
1/10/2013,574.56
1/11/2013,569.77
1/14/2013,566.54
1/15/2013,566.11
1/16/2013,562.73
1/17/2013,570.38
1/18/2013,570.97
1/22/2013,575.93
1/23/2013,573.82
1/24/2013,573.15
1/25/2013,568.38
1/28/2013,569.65
1/29/2013,573.39
1/30/2013,582.11
1/31/2013,577.75
2/1/2013,586.65
2/4/2013,587.62
2/5/2013,585.05
2/6/2013,583.28
2/7/2013,580.23
2/8/2013,587.05
2/11/2013,580.39
2/12/2013,583
2/13/2013,582.43
2/14/2013,583.35
2/15/2013,580.91
2/19/2013,569.78
2/20/2013,563.35
2/21/2013,556.38
2/22/2013,552.17
2/25/2013,554.72
2/26/2013,556.13
2/27/2013,556.86
2/28/2013,552.89
3/1/2013,544.95
3/4/2013,546.46
3/5/2013,549.76
3/6/2013,543.89
3/7/2013,549.35
3/8/2013,547.81
3/11/2013,549.02
3/12/2013,554.22
3/13/2013,551.28
3/14/2013,552.17
3/15/2013,548.76
3/18/2013,536.18
3/19/2013,532.96
3/20/2013,539.41
3/21/2013,536.75
3/22/2013,541.92
3/25/2013,539.32
3/26/2013,539.65
3/27/2013,538.27
3/28/2013,533.54
4/1/2013,533.54
4/2/2013,528.21
4/3/2013,522.71
4/4/2013,526.44
4/5/2013,524.11
4/8/2013,527.29
4/9/2013,540.24
4/10/2013,536.46
4/11/2013,539
4/12/2013,524.54
4/15/2013,510.01
4/16/2013,517.03
4/17/2013,501.41
4/18/2013,502.19
4/19/2013,495.18
4/22/2013,491.31
4/23/2013,486.72
4/24/2013,497.91
4/25/2013,508.29
4/26/2013,497.53
4/29/2013,506.2
4/30/2013,499.18
5/1/2013,480.77
5/2/2013,484.53
5/3/2013,514.65
5/6/2013,514.65
5/7/2013,514.39
5/8/2013,525.4
5/9/2013,520.87
5/10/2013,522.49
5/13/2013,525.19
5/14/2013,513.07
5/15/2013,509.76
5/16/2013,515.5
5/17/2013,517.26
5/20/2013,523.87
5/21/2013,521.81
5/22/2013,529.34
5/23/2013,516.87
5/24/2013,516.78
5/28/2013,518.32
5/29/2013,514.15
5/30/2013,517.86
5/31/2013,517.36
6/3/2013,519.42
6/4/2013,527.45
6/5/2013,527.36
6/6/2013,518.73
6/7/2013,511.5
6/10/2013,506.73
6/11/2013,499.95
6/12/2013,504.03
6/13/2013,499.18
6/14/2013,501.96
6/17/2013,501.47
6/18/2013,495.96
6/19/2013,492.84
6/20/2013,479.41
6/21/2013,482.74
6/24/2013,472.26
6/25/2013,481.14
6/26/2013,476.91
6/27/2013,478.16
6/28/2013,478.32
7/1/2013,495.28
7/2/2013,490.64
7/3/2013,496.31
7/5/2013,481.35
7/8/2013,484.14
7/9/2013,477.26
7/10/2013,483.98
7/11/2013,496.37
7/12/2013,493.05
7/15/2013,490.11
7/16/2013,495.99
7/17/2013,488.18
7/18/2013,489.22
7/19/2013,490.39
7/22/2013,498.44
7/23/2013,499
7/24/2013,500.24
7/25/2013,497.16
7/26/2013,486.32
7/29/2013,487.41
7/30/2013,477.31
7/31/2013,487.7
8/1/2013,496.1
8/2/2013,496.24
8/5/2013,494.1
8/6/2013,496.26
8/7/2013,496.18
8/8/2013,508.91
8/9/2013,515.36
8/12/2013,513.67
8/13/2013,515.43
8/14/2013,518.48
8/15/2013,517.79
8/16/2013,524.17
8/19/2013,517.42
8/20/2013,518.37
8/21/2013,512.68
8/22/2013,518.34
8/23/2013,521.17
8/26/2013,521.17
8/27/2013,517.86
8/28/2013,516.12
8/29/2013,506.41
8/30/2013,502.69
9/3/2013,512.79
9/4/2013,504
9/5/2013,502.76
9/6/2013,506.43
9/9/2013,508.96
9/10/2013,507.23
9/11/2013,507.38
9/12/2013,499.77
9/13/2013,498.56
9/16/2013,501.7
9/17/2013,501.01
9/18/2013,508.75
9/19/2013,519.52
