Effective date ,Dow Jones Commodity Index Cotton
11/30/2012,124.55
12/3/2012,124.67
12/4/2012,122.87
12/5/2012,123.09
12/6/2012,123.95
12/7/2012,124.35
12/10/2012,123.69
12/11/2012,126.22
12/12/2012,126.59
12/13/2012,125.65
12/14/2012,126.54
12/17/2012,127.82
12/18/2012,127.99
12/19/2012,127.89
12/20/2012,127.79
12/21/2012,128.38
12/24/2012,128.75
12/26/2012,129.86
12/27/2012,128.09
12/28/2012,125.82
12/31/2012,126.63
1/2/2013,127
1/3/2013,127.05
1/4/2013,126.47
1/7/2013,127.59
1/8/2013,126.59
1/9/2013,126.04
1/10/2013,126.73
1/11/2013,127.44
1/14/2013,127.27
1/15/2013,128.43
1/16/2013,130.32
1/17/2013,131.08
1/18/2013,132.37
1/22/2013,134.7
1/23/2013,135.63
1/24/2013,139.69
1/25/2013,135.69
1/28/2013,136.59
1/29/2013,138.84
1/30/2013,139.8
1/31/2013,139.79
2/1/2013,139.84
2/4/2013,137.75
2/5/2013,137.36
2/6/2013,137.71
2/7/2013,137.47
2/8/2013,139.74
2/11/2013,140.75
2/12/2013,139.61
2/13/2013,138.54
2/14/2013,139.52
2/15/2013,140.19
2/19/2013,141.78
2/20/2013,142.33
2/21/2013,140.26
2/22/2013,140.11
2/25/2013,137.71
2/26/2013,137.9
2/27/2013,142.2
2/28/2013,143.73
3/1/2013,143.92
3/4/2013,145.37
3/5/2013,146.58
3/6/2013,147.02
3/7/2013,145.77
3/8/2013,146.41
3/11/2013,146.14
3/12/2013,147.17
3/13/2013,149.33
3/14/2013,153.12
3/15/2013,155.88
3/18/2013,153.07
3/19/2013,153.57
3/20/2013,150.15
3/21/2013,148.63
3/22/2013,147.1
3/25/2013,145.92
3/26/2013,148.37
3/27/2013,149.19
3/28/2013,149.07
4/1/2013,147.27
4/2/2013,149.76
4/3/2013,150.35
4/4/2013,148.85
4/5/2013,146.86
4/8/2013,145.15
4/9/2013,144.63
4/10/2013,146.71
4/11/2013,146.17
4/12/2013,147.66
4/15/2013,145.13
4/16/2013,143.95
4/17/2013,146.02
4/18/2013,144.05
4/19/2013,143.85
4/22/2013,145.18
4/23/2013,143.41
4/24/2013,139.79
4/25/2013,140.26
4/26/2013,141.98
4/29/2013,144.49
4/30/2013,147.4
5/1/2013,141.34
5/2/2013,144.39
5/3/2013,145.65
5/6/2013,147.27
5/7/2013,146.87
5/8/2013,147.76
5/9/2013,148.16
5/10/2013,145.74
5/13/2013,144.99
5/14/2013,146.48
5/15/2013,145.69
5/16/2013,144.98
5/17/2013,145.62
