Effective date ,Dow Jones Commodity Index Brent Crude
11/30/2012,1036.18
12/3/2012,1034.02
12/4/2012,1023.78
12/5/2012,1014.57
12/6/2012,998.68
12/7/2012,996.47
12/10/2012,994.98
12/11/2012,997.82
12/12/2012,1008.83
12/13/2012,992.48
12/14/2012,1008.27
12/17/2012,1003.29
12/18/2012,1014.57
12/19/2012,1028.85
12/20/2012,1027.82
12/21/2012,1016.45
12/24/2012,1014.29
12/26/2012,1034.96
12/27/2012,1032.24
12/28/2012,1029.04
12/31/2012,1032.8
1/2/2013,1045.02
1/3/2013,1042.39
1/4/2013,1034.77
1/7/2013,1037.78
1/8/2013,1042.07
1/9/2013,1039.3
1/10/2013,1040.47
1/11/2013,1027.22
1/14/2013,1035.62
1/15/2013,1023.4
1/16/2013,1023.4
1/17/2013,1036.37
1/18/2013,1042.2
1/22/2013,1046.71
1/23/2013,1049.72
1/24/2013,1054.79
1/25/2013,1054.14
1/28/2013,1056.2
1/29/2013,1064.66
1/30/2013,1070.49
1/31/2013,1076.5
2/1/2013,1088.35
2/4/2013,1078.01
2/5/2013,1086.18
2/6/2013,1088.72
2/7/2013,1091.64
2/8/2013,1104.12
2/11/2013,1096.8
2/12/2013,1100.43
2/13/2013,1099.62
2/14/2013,1100.85
2/15/2013,1097.37
2/19/2013,1095.86
2/20/2013,1078.1
2/21/2013,1059.02
2/22/2013,1064
2/25/2013,1066.82
2/26/2013,1051.22
2/27/2013,1042.95
2/28/2013,1037.78
3/1/2013,1028.29
3/4/2013,1025
3/5/2013,1040.23
3/6/2013,1034.87
3/7/2013,1035.71
3/8/2013,1033.55
3/11/2013,1027.65
3/12/2013,1022.76
3/13/2013,1013.16
3/14/2013,1018.89
3/15/2013,1026.88
3/18/2013,1024.72
3/19/2013,1005.36
3/20/2013,1017.01
3/21/2013,1006.02
3/22/2013,1007.99
3/25/2013,1013.44
3/26/2013,1025.28
3/27/2013,1028.48
3/28/2013,1031.86
4/1/2013,1041.45
4/2/2013,1038.82
4/3/2013,1005.17
4/4/2013,997.65
4/5/2013,978.68
4/8/2013,984.27
4/9/2013,996.24
4/10/2013,992.59
4/11/2013,979.98
4/12/2013,966.64
4/15/2013,944.92
4/16/2013,939.19
4/17/2013,918.23
4/18/2013,930.17
4/19/2013,934.87
4/22/2013,942.86
4/23/2013,941.92
4/24/2013,955.55
4/25/2013,970.21
4/26/2013,967.48
4/29/2013,972.56
4/30/2013,959.02
5/1/2013,935.43
5/2/2013,961.84
5/3/2013,974.72
5/6/2013,987.12
5/7/2013,977.59
5/8/2013,976.86
5/9/2013,978.31
5/10/2013,972.58
5/13/2013,962.97
5/14/2013,961.65
5/15/2013,969.83
5/16/2013,973.68
5/17/2013,981.77
5/20/2013,983.74
5/21/2013,975.38
5/22/2013,962.78
5/23/2013,961.18
5/24/2013,962.41
5/28/2013,977.35
5/29/2013,960.71
5/30/2013,958.74
5/31/2013,941.73
6/3/2013,956.86
6/4/2013,967.01
6/5/2013,965.51
6/6/2013,971.15
6/7/2013,980.13
6/10/2013,975.36
6/11/2013,965.9
6/12/2013,971.05
6/13/2013,983.27
6/14/2013,992.11
6/17/2013,988.16
6/18/2013,993.8
6/19/2013,994.55
6/20/2013,956.86
6/21/2013,944.92
6/24/2013,947.27
6/25/2013,948.4
6/26/2013,952.16
6/27/2013,962.69
6/28/2013,956.02
7/1/2013,963.25
7/2/2013,972.56
7/3/2013,989
7/5/2013,1005.45
7/8/2013,1001.24
7/9/2013,1003.97
7/10/2013,1007.99
7/11/2013,1001.35
7/12/2013,1008.18
7/15/2013,1008.55
7/16/2013,1009.02
7/17/2013,1013.82
7/18/2013,1014.38
7/19/2013,1007.61
7/22/2013,1007.61
7/23/2013,1010.53
7/24/2013,999.81
7/25/2013,1003.85
7/26/2013,998.97
7/29/2013,1001.6
7/30/2013,997.37
7/31/2013,1004.79
8/1/2013,1021.24
8/2/2013,1015.98
8/5/2013,1012.88
8/6/2013,1006.58
8/7/2013,996.64
8/8/2013,987.59
8/9/2013,1000.13
8/12/2013,1007.48
8/13/2013,1012.59
8/14/2013,1014.94
8/15/2013,1022.18
8/16/2013,1028.01
8/19/2013,1023.78
8/20/2013,1025.38
8/21/2013,1022.18
8/22/2013,1023.21
8/23/2013,1032.14
8/26/2013,1029.04
8/27/2013,1061.56
8/28/2013,1081.11
8/29/2013,1067.76
8/30/2013,1055.64
9/3/2013,1069.36
9/4/2013,1064.19
9/5/2013,1067.39
9/6/2013,1075.38
9/9/2013,1053.4
9/10/2013,1029.77
9/11/2013,1029.64
9/12/2013,1039.49
9/13/2013,1037.22
9/16/2013,1024.34
9/17/2013,1008.18
9/18/2013,1030.64
9/19/2013,1014.94
9/20/2013,1018.14
9/23/2013,1009.12
9/24/2013,1012.88
9/25/2013,1009.49
9/26/2013,1017.67
9/27/2013,1012.22
9/30/2013,1009.68
10/1/2013,1006.67
10/2/2013,1017.86
10/3/2013,1015.7
10/4/2013,1020.11
10/7/2013,1021.65
10/8/2013,1025.66
10/9/2013,1013.85
10/10/2013,1036.86
10/11/2013,1030.92
10/14/2013,1029.14
10/15/2013,1022.37
10/16/2013,1033.65
10/17/2013,1019.92
10/18/2013,1028.38
10/21/2013,1025.38
10/22/2013,1028.29
10/23/2013,1008.93
10/24/2013,1001.6
10/25/2013,1001.79
10/28/2013,1024.81
10/29/2013,1020.02
10/30/2013,1028.95
10/31/2013,1020.96
11/1/2013,995.21
11/4/2013,997.18
11/5/2013,989.47
11/6/2013,990.13
11/7/2013,973.53
11/8/2013,986.22
11/11/2013,996.13
11/12/2013,989.21
11/13/2013,1001.41
11/14/2013,1013.72
11/15/2013,1015.6
11/18/2013,1015.23
11/19/2013,1001.03
11/20/2013,1010.71
11/21/2013,1029.04
11/22/2013,1038.44
11/25/2013,1037.78
11/26/2013,1036.94
11/27/2013,1041.54
11/29/2013,1027.54
12/2/2013,1043.7
12/3/2013,1053.85
12/4/2013,1047.27
12/5/2013,1039.19
12/6/2013,1044.79
12/9/2013,1025.11
12/10/2013,1024.7
12/11/2013,1027.88
12/12/2013,1016.73
12/13/2013,1015.7
12/16/2013,1025.28
12/17/2013,1017.11
12/18/2013,1027.54
12/19/2013,1033.36
12/20/2013,1046.33
12/23/2013,1045.3
12/24/2013,1048.5
12/26/2013,1049.34
12/27/2013,1051.13
12/30/2013,1042.86
12/31/2013,1038.82
1/2/2014,1011.28
1/3/2014,1001.32
1/6/2014,1000.19
1/7/2014,1005.55
1/8/2014,1002.35
1/9/2014,994.89
1/10/2014,1000.11
1/13/2014,993.03
1/14/2014,989.19
1/15/2014,995.77
1/16/2014,989.76
1/17/2014,995.68
1/21/2014,996.71
1/22/2014,1010.43
1/23/2014,1004.89
1/24/2014,1007.42
1/27/2014,996.52
1/28/2014,1004.32
1/29/2014,1007.89
1/30/2014,1008.46
1/31/2014,994.45
2/3/2014,990.51
2/4/2014,988.44
2/5/2014,993.05
2/6/2014,1001.88
2/7/2014,1022.2
2/10/2014,1013.16
2/11/2014,1014.87
2/12/2014,1015.92
2/13/2014,1016.82
2/14/2014,1022.18
2/18/2014,1034.87
2/19/2014,1035.06
2/20/2014,1033.65
2/21/2014,1028.95
2/24/2014,1035.71
2/25/2014,1024.72
2/26/2014,1024.81
2/27/2014,1020.11
2/28/2014,1020.96
3/3/2014,1041.07
3/4/2014,1023.12
3/5/2014,1008.36
3/6/2014,1011
3/7/2014,1018.78
3/10/2014,1009.19
3/11/2014,1011.82
3/12/2014,1006.52
3/13/2014,1002.63
3/14/2014,1014.38
3/17/2014,996.15
3/18/2014,1001.32
3/19/2014,993.14
3/20/2014,998.5
3/21/2014,1002.44
3/24/2014,1001.97
3/25/2014,1003.85
3/26/2014,1004.89
3/27/2014,1012.41
3/28/2014,1014.66
3/31/2014,1011.75
4/1/2014,992.11
4/2/2014,984.68
4/3/2014,997.09
4/4/2014,1002.16
4/7/2014,994.29
4/8/2014,1010.79
4/9/2014,1013.72
4/10/2014,1009.62
4/11/2014,1008.08
4/14/2014,1022.46
4/15/2014,1024.72
4/16/2014,1026.79
4/17/2014,1025.94
4/21/2014,1029.98
4/22/2014,1024.25
4/23/2014,1022.93
4/24/2014,1033.36
4/25/2014,1025.66
4/28/2014,1011.65
4/29/2014,1019.17
4/30/2014,1010.62
