Effective date ,Dow Jones Commodity Index Lean Hogs
11/30/2012,200.4
12/3/2012,197.52
12/4/2012,197.18
12/5/2012,197.46
12/6/2012,194.7
12/7/2012,192.45
12/10/2012,193.49
12/11/2012,194.01
12/12/2012,197.46
12/13/2012,198.04
12/14/2012,196.89
12/17/2012,195.39
12/18/2012,196.6
12/19/2012,199.6
12/20/2012,199.31
12/21/2012,200.35
12/24/2012,201.84
12/26/2012,201.61
12/27/2012,200.63
12/28/2012,199.14
12/31/2012,197.64
1/2/2013,198.67
1/3/2013,199.19
1/4/2013,198.79
1/7/2013,198.96
1/8/2013,200.74
1/9/2013,197
1/10/2013,198.5
1/11/2013,199.52
1/14/2013,202.54
1/15/2013,201.96
1/16/2013,201.56
1/17/2013,203.05
1/18/2013,203.05
1/22/2013,203.52
1/23/2013,202.88
1/24/2013,206.74
1/25/2013,205.01
1/28/2013,205.3
1/29/2013,206.63
1/30/2013,205.76
1/31/2013,205.99
2/1/2013,204.61
2/4/2013,203.69
2/5/2013,202.19
2/6/2013,198.85
2/7/2013,199.48
2/8/2013,198.56
2/11/2013,199.14
2/12/2013,198.27
2/13/2013,197.81
2/14/2013,194.41
2/15/2013,194.24
2/19/2013,191.47
2/20/2013,191.24
2/21/2013,189.91
2/22/2013,188.24
2/25/2013,188.82
2/26/2013,188.07
2/27/2013,186.74
2/28/2013,186.74
3/1/2013,187.03
3/4/2013,185.13
3/5/2013,182.71
3/6/2013,182.71
3/7/2013,193.3
3/8/2013,198.03
3/11/2013,200.51
3/12/2013,205.49
3/13/2013,207.67
3/14/2013,208.7
3/15/2013,205.94
3/18/2013,205.07
3/19/2013,203.52
3/20/2013,204.03
3/21/2013,206.46
3/22/2013,206.86
3/25/2013,209.28
3/26/2013,209.97
3/27/2013,209.05
3/28/2013,209.97
4/1/2013,211.12
4/2/2013,211.76
4/3/2013,213.2
4/4/2013,212.16
4/5/2013,206.8
4/8/2013,208.76
4/9/2013,207.15
4/10/2013,206.34
4/11/2013,206.22
4/12/2013,207.26
4/15/2013,204.27
4/16/2013,205.24
4/17/2013,208.3
4/18/2013,208.88
4/19/2013,207.95
4/22/2013,206.22
4/23/2013,206.51
4/24/2013,209.8
4/25/2013,211.7
4/26/2013,213.31
4/29/2013,212.45
4/30/2013,213.43
5/1/2013,214.29
5/2/2013,214.01
5/3/2013,212.51
5/6/2013,210.55
5/7/2013,210.52
5/8/2013,211.7
5/9/2013,209.72
5/10/2013,209.38
5/13/2013,209.86
5/14/2013,213.03
5/15/2013,211.76
5/16/2013,213.37
5/17/2013,209.74
5/20/2013,211.01
5/21/2013,211.53
5/22/2013,215.39
5/23/2013,214.47
5/24/2013,215.1
5/28/2013,215.22
5/29/2013,214.41
5/30/2013,215.5
5/31/2013,216.37
6/3/2013,215.68
6/4/2013,218.44
6/5/2013,218.04
6/6/2013,220.92
6/7/2013,221.31
6/10/2013,223.91
6/11/2013,225.06
6/12/2013,225.74
6/13/2013,224.32
6/14/2013,223.05
6/17/2013,222.82
6/18/2013,224.32
6/19/2013,226.8
6/20/2013,226.57
6/21/2013,224.67
6/24/2013,225.99
6/25/2013,225.24
