Effective date ,Dow Jones Commodity Index Petroleum
11/30/2012,147.27
12/3/2012,147.33
12/4/2012,146.03
12/5/2012,144.83
12/6/2012,142.33
12/7/2012,141.94
12/10/2012,141.57
12/11/2012,142.17
12/12/2012,143.94
12/13/2012,142.32
12/14/2012,144.03
12/17/2012,144.12
12/18/2012,145.53
12/19/2012,147.94
12/20/2012,148.14
12/21/2012,146.05
12/24/2012,145.87
12/26/2012,149.37
12/27/2012,149.22
12/28/2012,148.8
12/31/2012,149.98
1/2/2013,151.88
1/3/2013,151.52
1/4/2013,151.24
1/7/2013,151.56
1/8/2013,151.92
1/9/2013,151.83
1/10/2013,152.63
1/11/2013,151.5
1/14/2013,152.75
1/15/2013,151.05
1/16/2013,151.9
1/17/2013,153.85
1/18/2013,154.43
1/22/2013,155.38
1/23/2013,154.32
1/24/2013,155.34
1/25/2013,155.19
1/28/2013,156.03
1/29/2013,157.73
1/30/2013,158.61
1/31/2013,158.51
2/1/2013,159.54
2/4/2013,157.48
2/5/2013,158.52
2/6/2013,158.59
2/7/2013,158.16
2/8/2013,159.29
2/11/2013,160.21
2/12/2013,161.24
2/13/2013,161.07
2/14/2013,161.61
2/15/2013,160.11
2/19/2013,160.57
2/20/2013,157.78
2/21/2013,154.52
2/22/2013,155.16
2/25/2013,155.24
2/26/2013,153.55
2/27/2013,152.71
2/28/2013,151.78
3/1/2013,150.13
3/4/2013,149.31
3/5/2013,151.03
3/6/2013,150.37
3/7/2013,151.54
3/8/2013,152.29
3/11/2013,152.08
3/12/2013,152.24
3/13/2013,151.78
3/14/2013,152.45
3/15/2013,153.35
3/18/2013,153.36
3/19/2013,150.52
3/20/2013,152.27
3/21/2013,150.62
3/22/2013,151.74
3/25/2013,152.99
3/26/2013,155.13
3/27/2013,155.68
3/28/2013,156.43
4/1/2013,156.75
4/2/2013,156.55
4/3/2013,151.77
4/4/2013,150.17
4/5/2013,148.52
4/8/2013,149.77
4/9/2013,151.24
4/10/2013,151.18
4/11/2013,149.36
4/12/2013,146.57
4/15/2013,142.97
4/16/2013,142.69
4/17/2013,139.43
4/18/2013,141.14
4/19/2013,141.67
4/22/2013,142.9
4/23/2013,142.67
4/24/2013,145.5
4/25/2013,148.54
4/26/2013,147.88
4/29/2013,149.38
4/30/2013,147.68
5/1/2013,143.96
5/2/2013,148.24
5/3/2013,150.53
5/6/2013,151.88
5/7/2013,150.91
5/8/2013,151.8
5/9/2013,151.92
5/10/2013,151.15
5/13/2013,149.76
5/14/2013,148.88
5/15/2013,149.46
5/16/2013,150.58
5/17/2013,151.91
5/20/2013,152.61
5/21/2013,151.26
5/22/2013,148.73
5/23/2013,148.6
5/24/2013,148.61
5/28/2013,150.3
5/29/2013,147.56
5/30/2013,147.84
5/31/2013,145.17
6/3/2013,147.48
6/4/2013,148.08
6/5/2013,148.37
6/6/2013,149.69
6/7/2013,151.4
6/10/2013,150.85
6/11/2013,149.9
6/12/2013,150.72
6/13/2013,152.39
6/14/2013,154.02
6/17/2013,153.61
6/18/2013,154.56
6/19/2013,154.53
6/20/2013,149.08
6/21/2013,147.04
6/24/2013,148.39
6/25/2013,148.57
6/26/2013,148.85
6/27/2013,150.84
6/28/2013,149.94
7/1/2013,151.66
7/2/2013,153.78
7/3/2013,156.38
7/5/2013,159.24
7/8/2013,158.85
7/9/2013,159.43
7/10/2013,162.16
7/11/2013,160.53
7/12/2013,162.17
7/15/2013,162.42
7/16/2013,162.44
7/17/2013,163.25
7/18/2013,164.65
7/19/2013,164.41
7/22/2013,163.35
7/23/2013,163.79
7/24/2013,161.64
7/25/2013,161.69
7/26/2013,160.77
7/29/2013,160.68
7/30/2013,159.2
7/31/2013,161.47
8/1/2013,164.94
8/2/2013,163.64
8/5/2013,162.89
8/6/2013,161.19
8/7/2013,159.37
8/8/2013,157.85
8/9/2013,160.62
8/12/2013,161.11
8/13/2013,162.14
8/14/2013,162.52
8/15/2013,163.52
8/16/2013,163.89
8/19/2013,163.15
8/20/2013,161.81
8/21/2013,160.6
8/22/2013,161.68
8/23/2013,163.51
8/26/2013,162.71
8/27/2013,167.52
8/28/2013,169.76
8/29/2013,167.82
8/30/2013,165.88
9/3/2013,167.19
9/4/2013,165.81
9/5/2013,166.78
9/6/2013,169.14
9/9/2013,166.66
9/10/2013,163.12
9/11/2013,163
9/12/2013,164.64
9/13/2013,164.21
9/16/2013,162.03
9/17/2013,159.6
9/18/2013,163.22
9/19/2013,160.94
9/20/2013,160.11
9/23/2013,158.26
9/24/2013,158.22
9/25/2013,157.77
9/26/2013,158.73
9/27/2013,158.15
9/30/2013,157.37
10/1/2013,156.84
10/2/2013,159.32
10/3/2013,158.66
10/4/2013,159.14
10/7/2013,158.63
10/8/2013,159.28
