Effective date ,Dow Jones Commodity Index Silver
11/30/2012,644.57
12/3/2012,653.86
12/4/2012,635.44
12/5/2012,638.33
12/6/2012,641.37
12/7/2012,641.7
12/10/2012,646.47
12/11/2012,639.49
12/12/2012,654.31
12/13/2012,626.67
12/14/2012,625.59
12/17/2012,625.22
12/18/2012,613.38
12/19/2012,602.67
12/20/2012,574.82
12/21/2012,584.99
12/24/2012,579.06
12/26/2012,581.74
12/27/2012,585.71
12/28/2012,580.57
12/31/2012,585.45
1/2/2013,600.56
1/3/2013,595
1/4/2013,580.01
1/7/2013,582.65
1/8/2013,590.06
1/9/2013,585.88
1/10/2013,598.84
1/11/2013,588.96
1/14/2013,602.56
1/15/2013,610.67
1/16/2013,610.92
1/17/2013,616.11
1/18/2013,618.48
1/22/2013,623.22
1/23/2013,628.3
1/24/2013,614.41
1/25/2013,604.42
1/28/2013,596.17
1/29/2013,603.99
1/30/2013,623.22
1/31/2013,607.22
2/1/2013,618.98
2/4/2013,614.29
2/5/2013,617.37
2/6/2013,617.41
2/7/2013,608.47
2/8/2013,609.44
2/11/2013,599.39
2/12/2013,601.74
2/13/2013,599.11
2/14/2013,589.1
2/15/2013,579.29
2/19/2013,571.02
2/20/2013,555.51
2/21/2013,557.06
2/22/2013,552.39
2/25/2013,562.6
2/26/2013,567.89
2/27/2013,561.4
2/28/2013,550.69
3/1/2013,551.81
3/4/2013,551.93
3/5/2013,554.02
3/6/2013,557.87
3/7/2013,557.97
3/8/2013,560.68
3/11/2013,558.84
3/12/2013,565
3/13/2013,560.88
3/14/2013,557.95
3/15/2013,558.8
3/18/2013,559.25
3/19/2013,558.65
3/20/2013,558.14
3/21/2013,565.8
3/22/2013,555.84
3/25/2013,558.11
3/26/2013,555.47
3/27/2013,554.17
3/28/2013,548.58
4/1/2013,541.24
4/2/2013,527.76
4/3/2013,519.02
4/4/2013,518.44
4/5/2013,527.46
4/8/2013,526.12
4/9/2013,540.78
4/10/2013,536.61
4/11/2013,537.73
4/12/2013,511.2
4/15/2013,453.24
4/16/2013,458.4
4/17/2013,452.24
4/18/2013,451.15
4/19/2013,445.67
4/22/2013,452.72
4/23/2013,442.88
4/24/2013,443.11
4/25/2013,468.37
4/26/2013,460.74
4/29/2013,468.06
4/30/2013,468.43
5/1/2013,452.12
5/2/2013,461.55
5/3/2013,465.12
5/6/2013,463.97
5/7/2013,461.09
5/8/2013,463.43
5/9/2013,463.12
5/10/2013,458.22
5/13/2013,458.96
5/14/2013,452.82
5/15/2013,438.85
5/16/2013,438.87
5/17/2013,432.93
5/20/2013,437.38
