Table 1.1.1. Percent Change From Preceding Period in Real Gross Domestic Product
Table 1.1.1. Percent Change From Preceding Period in Real Gross Domestic Product
"Last Revised on: November 30, 2022 - Next Release Date December 22, 2022"
Line,,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3
1,"        Gross domestic product",-4.6,-29.9,35.3,3.9,6.3,7.0,2.7,7.0,-1.6,-0.6,2.9
2,Personal consumption expenditures,-6.2,-32.1,43.0,3.9,10.8,12.1,3.0,3.1,1.3,2.0,1.7
3,"    Goods",0.0,-10.7,55.2,0.3,25.3,11.6,-7.9,2.3,-0.1,-2.6,-0.2
4,"        Durable goods",-11.3,0.4,103.6,0.6,44.7,10.6,-22.0,5.1,7.6,-2.8,-0.3
5,"        Nondurable goods",6.2,-15.9,33.7,0.1,14.9,12.2,1.7,0.7,-4.4,-2.5,-0.1
6,"    Services",-8.9,-40.4,37.1,5.7,4.0,12.3,9.2,3.5,2.1,4.6,2.7
7,Gross private domestic investment,-5.1,-48.8,91.8,18.0,-5.4,0.9,10.4,32.0,5.4,-14.1,-9.1
8,"    Fixed investment",-3.0,-28.9,29.2,16.8,9.7,5.8,-1.1,0.6,4.8,-5.0,-4.1
9,"        Nonresidential",-8.2,-29.4,20.2,11.5,8.9,9.9,0.6,1.1,7.9,0.1,5.1
10,"            Structures",-3.4,-42.9,-10.4,0.9,1.9,-2.5,-6.7,-12.7,-4.3,-12.7,-6.9
11,"            Equipment",-23.9,-38.0,57.1,21.1,6.1,14.0,-2.2,1.6,11.4,-2.0,10.7
12,"            Intellectual property products",7.9,-9.3,9.5,8.3,15.6,12.6,7.4,8.1,10.8,8.9,5.8
13,"        Residential",17.4,-27.4,61.6,33.4,11.6,-4.9,-5.8,-1.1,-3.1,-17.8,-26.8
14,"    Change in private inventories",---,---,---,---,---,---,---,---,---,---,---
15,Net exports of goods and services,---,---,---,---,---,---,---,---,---,---,---
16,"    Exports",-15.3,-60.9,59.5,24.2,0.4,4.9,-1.1,23.5,-4.6,13.8,15.3
17,"        Goods",-3.6,-66.2,103.2,25.5,-0.7,3.4,-3.7,23.4,-7.2,15.5,17.7
18,"        Services",-33.7,-49.1,1.4,21.2,2.5,7.7,4.7,23.6,1.6,9.9,9.9
19,"    Imports",-12.2,-53.7,88.2,32.9,7.6,7.9,6.6,18.6,18.4,2.2,-7.3
20,"        Goods",-7.8,-49.3,103.7,29.3,10.9,4.0,0.2,19.6,20.4,-0.4,-9.1
21,"        Services",-28.9,-69.3,25.7,53.6,-8.8,31.9,45.3,14.0,9.1,16.6,1.5
22,Government consumption expenditures and gross investment,3.3,7.3,-5.9,-0.1,6.5,-3.0,-0.2,-1.0,-2.3,-1.6,3.0
23,"    Federal",3.7,31.5,-10.9,1.8,17.3,-6.9,-7.2,0.0,-5.3,-3.4,3.4
24,"        National defense",2.1,1.8,1.3,11.8,-9.0,-2.6,-3.2,-5.3,-8.5,1.4,4.4
25,"        Nondefense",6.1,86.5,-24.7,-10.8,64.8,-11.9,-12.1,7.4,-1.1,-9.2,2.1
26,"    State and local",3.0,-5.5,-2.5,-1.3,0.1,-0.4,4.5,-1.6,-0.4,-0.6,2.8
,Addendum:,,,,,,,,,,,
27,"    Gross domestic product, current dollars",-3.1,-30.9,40.1,6.6,11.7,13.8,9.0,14.3,6.6,8.5,7.3
